,1,2,3,4,5,6,7,8,9,10
7,0.0,0.0,0.342,1.221,0.0,0.0,0.0,0.0,0.293,1.709
8,0.0,0.0,0.0,0.0,0.0,2.881,0.0,1.318,2.393,0.0
9,0.0,0.0,0.0,0.0,0.0,1.172,1.563,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.025
11,0.0,0.0,0.0,2.051,1.025,2.1,0.0,0.0,1.856,0.0
12,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,1.611,0.195
13,0.0,0.0,0.0,0.0,1.025,3.711,0.0,0.0,1.66,1.074
14,0.0,1.66,0.0,0.83,0.0,2.539,0.0,1.953,0.0,2.197
15,0.0,0.0,0.0,4.15,0.0,1.709,0.0,0.0,2.686,2.051
16,0.0,2.197,2.197,2.295,0.0,2.539,0.0,1.611,0.293,2.295
17,0.0,0.0,0.0,0.0,0.0,2.393,0.0,2.634,0.83,0.0
18,0.0,0.0,0.0,0.0,0.0,0.293,1.123,0.0,4.346,0.977
19,0.0,0.0,1.465,0.0,3.32,0.0,1.318,0.0,0.0,1.465
20,0.0,0.0,0.0,0.0,0.0,3.857,0.0,0.293,0.0,1.514
21,0.0,0.0,0.0,0.0,3.662,0.0,0.0,1.758,0.146,0.0
22,0.293,0.0,0.0,0.0,4.004,0.0,0.0,0.0,2.49,0.977
23,0.0,0.0,0.439,0.0,0.0,1.66,0.0,0.0,1.807,2.197
24,0.0,0.0,1.709,0.586,0.0,0.0,0.0,0.0,1.172,1.709
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.369,2.881
26,0.0,0.0,0.0,0.0,0.0,1.758,0.0,0.83,3.662,0.0
27,0.0,0.0,1.758,0.0,2.148,0.0,0.0,0.0,0.0,2.246
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,1.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.537,0.0,0.0,0.0,0.0,2.637,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.244,0.0,0.684,0.83,0.0,0.0,0.0
