,1,2,3,4,5,6,7,8,9,10
9,0.0,0.0,0.0,2.295,0.0,0.0,0.0,0.195,0.0,0.0
10,0.146,0.146,0.0,0.0,0.0,0.0,1.416,0.0,2.344,0.0
11,0.0,0.0,0.0,0.0,1.416,0.0,0.146,0.0,0.732,0.635
12,0.0,0.195,0.0,0.0,1.514,0.0,0.0,0.0,0.0,1.66
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025,0.439
14,0.0,0.83,0.0,0.0,0.0,1.611,0.0,0.0,1.367,1.318
15,0.0,0.0,0.0,0.0,1.758,1.416,0.0,0.83,0.439,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.342,1.27,1.563,0.0
17,0.0,0.83,0.0,0.537,0.0,0.0,0.293,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1.563,0.684,0.0,1.465
19,1.172,1.123,0.0,1.367,0.0,0.0,1.367,0.0,0.0,1.758
20,0.195,0.146,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.611
21,1.074,0.0,0.781,0.0,1.27,0.0,0.977,0.0,0.781,1.416
22,0.0,0.0,0.0,0.0,0.0,1.172,0.0,1.172,1.074,0.0
23,0.0,0.0,1.123,0.0,0.0,0.0,1.758,0.83,0.488,1.416
24,0.0,0.0,0.0,0.0,0.0,0.684,2.197,0.0,1.758,2.197
25,0.0,0.0,0.0,0.83,0.0,0.0,2.344,0.0,1.172,1.856
26,0.0,0.0,0.0,0.0,0.0,0.0,1.514,0.0,1.074,0.244
27,0.0,0.0,0.0,0.0,0.0,0.0,1.856,0.0,0.781,1.074
28,0.0,0.0,0.0,1.172,1.221,0.0,0.0,0.0,0.0,1.074
29,0.0,0.0,0.0,0.0,0.0,0.0,1.416,0.732,0.0,2.588
30,0.0,0.0,1.025,1.27,0.684,0.0,1.074,0.0,1.025,1.416
31,0.0,0.0,0.0,0.0,2.344,0.977,0.0,1.025,0.635,0.0
32,0.0,0.0,0.781,0.0,0.0,0.0,0.0,1.416,0.537,1.904
33,0.732,2.588,0.0,0.195,0.0,0.0,0.0,1.221,0.0,1.953
34,0.0,0.0,0.0,1.27,0.0,0.0,0.0,2.783,1.123,0.732
35,0.342,0.0,0.0,0.0,0.781,1.074,0.732,0.0,0.0,0.0
36,0.146,0.0,0.195,1.611,0.146,0.0,1.611,2.539,0.0,0.879
37,0.0,0.0,0.0,0.0,0.0,0.391,0.0,0.0,0.0,2.686
38,0.0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,3.027,0.0
39,0.0,1.221,0.0,0.0,1.709,0.0,0.0,0.0,0.0,2.441
40,0.195,0.0,0.0,0.0,0.0,1.074,0.0,0.586,1.709,0.635
41,0.0,0.0,0.0,2.686,0.879,0.098,0.0,1.172,1.611,0.586
42,0.0,0.0,0.0,2.49,0.83,0.0,1.074,0.0,1.123,0.0
43,0.0,0.0,0.0,0.0,0.928,1.367,0.977,0.0,1.416,1.172
70,0.0,0.0,0.293,2.002,0.684,0.0,1.123,1.123,1.123,0.0
71,0.0,0.0,0.0,0.0,0.0,0.537,2.295,0.0,1.856,0.342
72,1.807,0.586,0.0,0.0,0.0,0.83,0.0,0.244,0.879,0.928
73,0.244,0.0,0.536,0.195,0.0,0.0,0.0,1.318,0.0,3.076
74,0.0,0.244,1.025,0.0,0.0,1.416,0.0,0.0,0.879,0.0
75,0.0,0.0,0.0,0.0,0.0,1.758,1.025,1.367,0.0,1.123
76,0.0,0.0,0.0,0.928,0.0,0.0,0.0,0.0,0.684,0.0
77,0.195,0.0,0.293,0.0,0.342,0.0,2.148,1.172,2.1,1.367
78,0.0,0.0,0.0,0.0,0.537,0.0,0.244,0.0,2.246,2.539
87,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0
88,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.146,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025
90,0.244,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0,0.0
91,0.146,0.293,0.0,0.0,0.0,0.0,0.684,0.586,0.342,0.0
92,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.244,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.928,0.0,0.0,0.586,0.0
94,0.0,0.0,0.0,0.0,0.195,0.0,0.195,0.977,0.0,0.0
95,0.0,0.0,0.195,0.0,0.439,0.0,0.0,0.0,0.195,0.0
96,0.244,0.0,0.146,0.0,0.488,1.953,0.0,0.0,0.0,0.781
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,5.029,0.0,0.0,0.0,0.83,0.0,0.0
101,0.0,0.0,0.0,0.0,0.488,0.0,0.244,0.0,0.0,0.293
102,0.0,0.0,0.0,6.445,0.0,0.0,0.0,0.0,0.879,0.0
103,0.0,0.439,0.0,0.439,1.66,0.0,0.0,0.0,0.0,0.244
104,0.293,0.244,0.244,0.0,0.0,0.0,0.146,0.781,0.0,0.146
105,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.439,0.0,0.0,0.0,0.537,0.0,0.0,0.391,0.0
107,0.195,0.0,0.146,0.0,0.146,0.0,0.0,1.074,0.195,1.856
108,0.195,0.0,0.586,1.465,0.0,0.0,1.758,0.0,0.0,0.0
109,0.0,3.857,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.146
110,1.367,0.0,0.293,0.0,0.195,0.244,1.318,0.0,2.295,0.0
111,0.0,0.0,0.0,0.0,1.025,0.0,0.0,0.146,0.244,0.0
112,0.928,0.0,0.0,1.514,0.0,0.0,0.0,0.977,0.732,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.391,1.514,0.0,0.0
114,0.0,0.0,0.879,0.0,0.0,0.0,0.781,1.856,1.562,0.0
115,0.146,0.0,0.293,0.0,0.0,0.0,0.0,1.514,0.0,1.611
116,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.293
117,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.635,1.318
118,0.195,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0,0.0
119,0.732,0.0,0.0,0.0,1.367,0.0,0.0,0.0,1.221,0.0
120,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.098,0.098,0.781
121,0.0,0.195,0.0,0.0,0.0,0.0,2.295,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.0
123,0.0,0.0,0.0,1.221,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.537,1.025,0.0,0.928,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293
126,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.391,0.0,1.514
127,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.0,0.342,0.0
128,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.195,0.195,0.0,0.0,0.0,0.0,0.439
