,1,2,3,4,5,6,7,8,9,10
11,0.098,0.0,1.318,1.318,0.0,0.0,0.0,0.0,0.391,0.781
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.195
13,0.0,0.732,0.0,0.0,1.416,1.709,2.441,1.514,1.66,0.928
14,0.0,0.0,1.856,0.0,0.635,0.244,0.0,1.953,1.514,3.809
15,0.0,0.0,0.0,0.0,0.0,0.732,1.807,0.0,3.516,0.879
16,0.0,0.0,0.0,0.0,0.0,2.295,0.0,2.002,3.516,0.0
17,0.0,0.0,1.123,1.563,0.0,0.0,1.318,0.439,0.0,2.344
18,0.0,0.0,0.0,0.0,1.367,0.0,0.977,1.123,2.002,0.195
19,0.0,1.025,0.0,0.0,1.709,0.0,0.0,2.1,0.732,0.0
20,0.0,0.0,0.0,0.293,0.0,1.611,0.0,0.0,0.0,2.49
21,0.781,0.0,0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,1.123,0.0,1.025,1.123,0.0,2.734
23,0.0,0.0,0.0,1.807,0.0,0.244,0.0,1.318,0.0,0.0
24,0.0,0.0,1.856,0.0,0.244,0.0,0.0,1.758,0.0,0.977
25,0.0,0.0,0.0,0.635,0.0,0.0,0.0,0.293,1.074,0.928
26,0.0,0.0,0.342,0.0,0.244,1.123,0.0,1.856,2.93,2.539
27,0.146,0.146,1.611,0.0,1.025,0.0,0.391,0.0,0.0,0.146
28,0.146,0.0,0.0,0.391,0.0,0.635,3.76,5.273,0.0,1.856
29,0.0,0.0,1.953,0.0,0.0,2.393,0.977,1.514,0.0,2.588
30,0.0,0.0,0.0,0.195,0.0,0.195,0.684,0.0,1.172,1.807
31,0.244,0.0,0.293,0.0,3.027,0.0,0.0,2.148,0.0,3.223
32,0.0,1.172,0.488,1.709,1.611,2.637,0.0,4.541,1.465,2.197
45,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.83,3.125,0.684
46,0.146,0.0,0.195,0.0,0.0,0.146,0.0,1.709,1.66,0.0
47,1.025,0.391,0.0,0.342,0.586,3.272,1.514,0.0,1.709,1.807
48,0.0,0.146,0.0,2.197,0.342,0.0,1.27,0.0,0.0,2.344
49,0.0,0.0,0.0,0.928,1.27,1.318,0.0,2.783,0.781,4.883
50,0.293,2.051,0.0,0.098,0.879,0.146,0.0,0.293,0.0,0.0
51,0.0,0.342,0.781,1.514,0.293,0.0,1.367,1.807,1.66,1.904
52,0.0,0.0,0.0,1.514,0.0,0.0,1.611,0.83,1.123,2.734
53,0.0,0.0,0.0,0.0,2.002,0.0,0.0,0.879,1.953,1.856
54,0.0,0.293,0.0,0.195,0.244,1.172,3.76,1.123,1.758,0.0
55,0.0,0.391,2.246,0.0,0.537,0.195,1.172,0.0,1.856,0.781
68,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0,3.613,0.0
69,1.123,0.0,0.0,1.465,0.0,0.0,0.0,1.367,1.123,1.123
70,1.465,0.0,0.0,0.0,0.244,0.391,0.0,0.195,0.0,0.0
71,0.244,0.0,0.146,0.0,1.856,2.051,0.0,4.346,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,3.467,0.537,0.0,0.439,2.637
73,0.0,0.0,0.0,0.537,0.0,0.0,1.807,0.0,4.345,2.148
74,0.0,0.0,0.293,0.977,0.879,0.0,0.0,0.732,0.635,0.0
75,0.391,0.0,0.0,0.0,2.881,0.0,0.0,0.0,1.025,3.467
76,0.0,0.0,0.0,0.293,0.342,0.195,0.0,0.586,1.416,3.76
77,0.879,0.0,0.0,0.0,0.488,0.0,0.977,2.881,0.0,1.758
78,0.0,0.0,0.0,0.0,0.391,0.195,2.637,3.565,0.635,2.197
79,0.0,0.537,0.0,0.0,0.0,1.611,1.856,1.025,0.732,0.195
80,0.928,0.0,0.0,0.0,0.0,0.0,1.025,2.441,2.051,1.123
81,0.146,1.367,0.0,0.0,0.0,1.709,3.027,1.465,0.0,4.346
82,0.0,0.342,0.0,0.0,0.195,0.195,0.781,3.807,1.221,1.27
83,0.293,0.0,0.0,0.879,0.0,0.0,1.27,2.832,0.146,0.0
84,0.0,0.0,0.0,0.293,0.0,0.195,0.0,2.1,0.977,2.441
85,0.342,0.0,0.146,1.856,1.709,1.465,1.27,0.244,0.195,0.391
86,0.0,0.0,0.0,0.244,0.0,0.391,0.293,1.318,2.002,2.295
87,0.0,0.0,0.0,0.146,0.0,0.0,0.0,2.344,1.367,6.641
88,0.391,0.0,0.293,0.0,0.195,0.0,0.0,0.537,0.342,0.439
89,0.0,0.488,0.0,0.0,0.879,0.0,0.146,0.0,0.83,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.488,1.172,1.856,0.0
91,0.195,1.074,0.0,0.0,0.0,0.0,0.732,2.148,0.0,0.781
92,0.195,0.146,0.0,0.0,0.0,0.439,0.0,0.635,0.0,0.0
93,0.146,0.0,0.0,0.0,2.1,0.684,1.123,0.0,0.0,2.979
94,0.0,0.0,0.0,0.0,0.0,0.879,0.586,0.0,1.904,0.83
95,0.781,0.0,0.0,0.439,0.684,0.293,0.0,0.0,1.709,0.781
96,0.0,0.195,0.0,1.074,0.244,0.0,0.195,1.367,0.0,1.074
97,0.0,0.195,0.0,1.172,0.146,0.0,0.0,0.0,3.418,0.0
98,0.195,0.146,0.488,0.928,1.563,0.0,0.0,1.123,0.195,1.66
99,0.0,0.244,0.0,0.488,0.391,0.244,0.195,0.928,3.125,1.367
100,0.342,0.195,0.684,0.342,0.146,0.0,0.879,0.684,0.0,1.221
101,0.0,0.244,0.0,0.0,0.732,1.709,0.0,0.781,1.221,0.879
102,0.195,2.393,0.195,0.0,1.904,0.293,2.588,0.439,0.732,0.879
103,0.0,0.195,3.272,0.146,0.488,0.195,0.0,0.0,0.391,1.025
104,0.146,0.342,1.611,0.0,0.0,0.0,0.0,2.197,1.123,0.684
105,0.195,1.611,0.0,0.0,0.0,1.856,0.0,0.342,1.758,3.955
116,0.0,0.0,0.0,0.0,0.342,0.488,0.391,0.0,0.0,0.0
117,0.0,0.0,0.0,0.439,0.0,0.195,0.635,0.0,2.49,0.146
118,0.0,0.0,0.0,0.0,0.0,2.588,0.0,0.0,0.0,2.441
119,0.0,0.0,1.611,0.0,1.025,0.195,0.0,0.0,0.537,0.684
120,0.0,0.0,1.025,0.0,0.0,0.83,0.293,0.83,1.221,0.0
121,0.0,0.0,0.0,0.0,0.0,1.025,0.0,0.0,0.342,0.0
122,0.0,0.0,0.0,0.879,0.0,0.244,0.0,0.0,0.0,1.66
123,0.0,0.0,0.0,0.0,0.0,0.0,0.342,1.074,1.367,0.0
124,0.439,0.146,0.0,0.0,0.586,0.0,0.244,0.928,0.928,1.709
125,0.195,0.0,0.0,0.146,0.293,0.0,0.0,2.246,0.195,0.0
126,0.293,0.195,0.0,1.709,0.0,0.195,1.318,1.221,0.0,1.025
127,0.195,0.0,0.0,0.0,0.0,0.342,1.465,0.0,0.244,0.0
128,0.0,0.0,1.465,0.0,0.0,0.195,0.391,0.293,0.195,0.293
129,0.146,0.83,0.244,0.0,0.0,0.928,0.244,0.0,3.027,1.856
130,0.0,0.293,0.195,0.146,0.928,0.977,0.0,0.0,0.439,0.977
