,1,2,3,4,5,6,7,8,9,10
4,0.0,1.758,0.0,0.0,0.586,3.809,0.0,1.367,1.123,2.246
5,0.0,0.0,0.439,0.684,3.613,0.0,0.195,1.172,0.928,1.172
6,0.146,0.342,1.025,0.635,1.074,0.195,1.172,0.342,0.0,1.563
7,0.195,0.146,0.0,0.439,2.393,0.293,1.27,1.904,0.195,1.709
8,0.146,0.0,0.684,0.391,0.684,3.418,0.0,1.514,2.686,2.979
9,0.0,2.93,0.0,0.928,0.488,1.416,0.293,1.465,0.0,0.732
10,0.0,2.881,2.0,0.0,0.879,0.439,0.0,0.244,0.0,1.465
11,0.0,0.244,0.146,1.904,0.488,0.342,0.83,2.441,1.563,2.734
12,0.0,1.123,1.123,0.781,0.0,1.416,1.367,0.0,2.49,1.27
13,0.781,0.391,0.977,0.0,0.928,0.83,1.514,1.807,0.977,0.195
14,0.488,0.537,0.781,0.0,0.244,0.098,1.318,0.83,0.146,2.881
15,1.465,0.098,0.928,0.586,1.807,1.367,0.439,0.586,0.684,3.174
16,1.025,0.146,1.611,0.146,0.0,1.074,2.002,2.051,2.49,2.197
17,0.0,1.66,1.465,0.635,1.221,2.49,1.465,2.148,0.244,2.051
18,0.146,0.439,1.123,0.342,2.734,0.0,0.0,4.15,2.588,1.758
19,0.098,1.172,1.367,1.856,0.0,1.856,1.856,3.174,0.928,4.297
20,0.0,0.488,0.0,2.148,0.244,0.293,2.148,0.635,1.66,0.0
21,0.0,0.488,0.098,2.148,1.709,2.295,0.0,3.906,2.393,1.123
22,0.098,0.83,0.928,1.758,0.928,3.174,0.879,0.928,1.318,1.807
23,0.488,0.0,2.1,1.758,0.977,2.197,1.709,0.732,2.881,2.148
24,0.0,1.465,1.856,1.025,0.195,0.244,2.734,0.146,1.758,4.199
25,0.146,1.514,1.904,0.83,1.514,0.391,1.465,0.537,3.516,0.928
26,0.83,0.391,0.0,1.221,3.125,0.293,1.074,0.879,0.586,0.293
27,1.514,1.563,0.0,2.783,1.123,0.879,1.807,0.0,1.27,0.83
29,1.611,0.293,1.123,1.318,0.732,3.272,2.393,5.078,0.0,2.637
30,0.928,0.0,2.49,0.098,0.439,2.148,1.025,3.955,0.977,1.856
31,0.879,3.174,0.83,0.0,2.393,0.244,2.686,0.195,0.977,2.295
32,0.195,0.146,0.684,0.439,1.709,1.367,0.781,0.0,0.684,2.393
33,1.953,0.439,1.807,0.635,0.586,2.979,3.027,2.393,1.318,1.611
34,0.098,0.0,0.293,0.439,1.611,0.537,1.172,0.195,3.516,2.881
35,0.0,0.342,1.172,4.443,0.879,0.635,1.514,1.611,2.734,0.732
36,0.342,1.172,0.879,1.123,2.783,0.586,0.0,1.953,0.195,0.244
37,0.0,0.0,0.195,0.977,0.0,0.0,0.342,3.32,0.0,3.174
38,0.0,0.488,0.0,0.488,1.758,0.879,1.611,3.174,1.318,0.0
39,1.318,0.0,0.83,0.488,0.732,0.293,0.537,1.074,1.221,0.244
40,0.879,0.195,0.0,0.586,2.197,0.195,0.195,0.586,1.709,4.443
41,0.586,0.0,0.391,1.856,1.563,0.928,1.904,3.809,0.0,0.0
42,0.146,0.195,1.416,4.345,1.172,0.146,0.928,2.734,1.953,2.295
43,0.0,0.195,1.367,1.856,0.684,0.244,0.244,1.416,3.76,0.293
44,1.27,0.146,0.684,4.004,0.977,1.856,1.221,3.223,0.0,3.32
46,1.074,0.195,0.244,0.342,0.195,0.586,1.953,3.223,2.637,1.318
47,1.856,0.342,0.586,2.49,0.146,0.0,2.002,3.272,0.488,4.688
48,1.856,0.635,2.588,0.0,1.123,0.732,3.613,3.662,2.783,3.027
49,0.0,0.293,1.318,1.758,0.488,2.344,5.566,0.977,1.172,1.563
50,1.856,1.074,2.734,0.244,1.367,0.586,0.0,1.953,0.83,1.563
62,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.195,0.0,0.0
63,0.342,0.488,0.0,0.146,0.439,0.928,2.539,1.172,0.244,1.172
64,0.244,0.391,0.0,0.293,0.146,0.293,1.465,4.688,1.172,3.272
65,0.0,0.635,1.611,0.732,1.856,1.953,4.981,3.174,0.342,1.27
66,0.146,2.734,1.367,2.295,0.928,2.148,0.879,1.758,1.465,2.686
67,0.83,1.318,2.197,1.318,1.465,0.977,0.0,1.514,1.807,4.248
68,0.0,1.904,0.537,1.563,1.904,3.613,0.098,3.125,2.197,1.709
69,0.0,2.539,0.0,0.635,0.977,1.025,0.879,1.465,0.0,0.684
70,1.514,0.879,0.928,0.439,2.637,1.953,0.83,1.807,4.053,4.639
71,0.0,0.195,2.979,1.123,1.123,1.611,3.272,2.93,3.809,2.1
72,0.293,2.002,0.586,0.439,2.393,3.125,0.83,2.49,2.148,4.248
73,0.391,0.879,1.611,1.904,2.002,4.883,0.391,3.076,0.342,2.979
