"","X1"
"1",1.221
"2",0
"3",0
"4",0
"5",1.074
"6",0
"7",1.367
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0.244
"16",0
"17",0
"18",0
"19",0.098
"20",0
"21",0
"22",0
"23",0.098
"24",0.146
"25",1.758
"26",1.123
"27",0.098
"28",0
"29",1.074
"30",0.781
"31",1.221
"32",1.416
"33",0.586
"34",0.195
"35",0
"36",0.439
"37",0
"38",0.488
"39",0
"40",0.586
"41",0
"42",0
"43",0.637
"44",0
"45",0
